tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1242460,movie,We Need to Talk About Kevin,We Need to Talk About Kevin,0,2011,\N,112,"Drama,Mystery,Thriller",7.4,173310
tt1242422,movie,Cell 211,Celda 211,0,2009,\N,113,"Action,Adventure,Crime",7.6,71995
tt12415546,movie,Attack on Titan: Chronicle,Shingeki no Kyojin: Chronicle,0,2020,\N,122,"Action,Adventure,Animation",8.4,12257
tt1241317,movie,Death Note,Death Note,0,2017,\N,101,"Crime,Drama,Fantasy",4.5,92651
tt12412888,movie,Sonic the Hedgehog 2,Sonic the Hedgehog 2,0,2022,\N,122,"Action,Adventure,Comedy",6.5,102701
tt1240982,movie,Your Highness,Your Highness,0,2011,\N,102,"Action,Adventure,Comedy",5.5,105780
tt12361974,movie,Zack Snyder's Justice League,Zack Snyder's Justice League,0,2021,\N,242,"Action,Adventure,Fantasy",7.9,452209
tt12361178,movie,Drishyam 2,Drishyam 2,0,2021,\N,152,"Crime,Drama,Mystery",8.4,42514
tt1235522,movie,Broken City,Broken City,0,2013,\N,109,"Action,Crime,Drama",6.1,84600
tt1235166,movie,A Prophet,Un prophète,0,2009,\N,155,"Crime,Drama",7.8,104356
tt1235124,movie,Dorian Gray,Dorian Gray,0,2009,\N,112,"Drama,Fantasy,Mystery",6.2,69422
tt1234721,movie,RoboCop,RoboCop,0,2014,\N,117,"Action,Crime,Sci-Fi",6.1,243387
tt1234719,movie,Red Dawn,Red Dawn,0,2012,\N,93,"Action,War",5.3,81990
tt1234548,movie,The Men Who Stare at Goats,The Men Who Stare at Goats,0,2009,\N,94,"Comedy,War",6.2,139521
tt1232829,movie,21 Jump Street,21 Jump Street,0,2012,\N,109,"Action,Comedy,Crime",7.2,617826
tt1232776,movie,Fish Tank,Fish Tank,0,2009,\N,123,Drama,7.3,66371
tt1232200,movie,That's My Boy,That's My Boy,0,2012,\N,116,"Comedy,Drama",5.6,113989
tt1231587,movie,Hot Tub Time Machine,Hot Tub Time Machine,0,2010,\N,99,"Comedy,Sci-Fi",6.4,190803
tt1231583,movie,Due Date,Due Date,0,2010,\N,95,"Comedy,Drama",6.5,363871
